NCT ID,Study Title,Conditions,Inclusion Criteria,Exclusion Criteria,Interventions,Study Type,Overall Status
NCT00669227,Intracoronary Stem Cell Therapy in Patients With Acute Myocardial Infarction (SCAMI),"Acute Myocardial Infarction, Coronary Artery Disease","* acute myocardial infarction with time to revascularization \>6 hours from symptom start
* clear target vessel
* large myocardial infarction defined as: proximal vessel occlusion, CK \> 1000 U/L, myocardial scar in magnetic resonance imaging \> 10% of left ventricular muscle mass
* potential prior thrombolysis
* written informed consent","* acute myocardial infarction with revascularization within 6 hours after symptom start
* prior myocardial infarction
* no clear target vessel
* contraindication for magnetic resonance imaging (e.g. pacemaker, ICD)
* severely depressed left ventricular ejection fraction (less than 20% in magnetic resonance imaging)
* prior hematologic disease
* prior chemo therapy
* prior stem cell transplantation
* prior treatment with G-CSF
* known alteration of the bone marrow by alcohol or drugs, e.g. agranulocytosis
* local infection of puncture sites","autologous stem cells, placebo suspension",INTERVENTIONAL,COMPLETED
NCT01459627,"Randomized, Open Label Trial of 6 Months Versus 12 Months DAPT After Drug-Eluting Stent in STEMI","Myocardial Infarction, Cardiovascular Disease","Inclusion Criteria:

STEMI patients between 18-85 years who underwent primary PCI with DES implantation.","enrolment:

* Intolerance to Aspirin, Prasugrel, Ticagrelor, Heparin, Bivalirudin, Zotarolimus or Everolimus.
* Known bleeding diathesis or known coagulopathy.
* Planned elective surgical procedure necessitating interruption of dual antiplatelet therapy during the first 6 months after randomization.
* History of stent thrombosis
* DES in main left coronary artery
* Active bleeding, known bleeding diathesis or known coagulopathy.
* Planned elective surgical procedure necessitating interruption of dual antiplatelet therapy during the first 6 months after randomization.
* Oral anticoagulant therapy with Coumadin derivates
* Malignancies or other comorbidity with a life expectancy of less than one year or that may result in protocol noncompliance
* Pregnancy (present, suspected or planned) or positive pregnancy test (in women with childbearing potential a negative pregnancy test is mandatory)

Exclusion criteria randomization:

* Occurrence of death, myocardial infarction, stent thrombosis and target vessel or lesion revascularization during the first 6 months after inclusion.
* Stroke or bleeding requiring discontinuation of DAPT during the first 6 months after inclusion.
* Oral anticoagulant therapy

Registry

Exclusion criteria

* Intolerance to Prasugrel, Ticagrelor, Bivalirudin.
* Known bleeding diathesis or known coagulopathy

Report Resolute Integrity Exclusion criteria

• See exclusion criteria enrollment DAPT-STEMI protocol","6 months DAPT, 12 months DAPT",INTERVENTIONAL,COMPLETED
NCT00051376,Vascular Interaction With Age in Myocardial Infarction,Myocardial Infarction,"Patients will have suffered their first acute Q-wave MI within 3 to 21 days with creatine kinase levels 3 times normal. All patients will have systolic blood pressure over 100 mmHg and the permission of their attending physician and the ability to give voluntary informed consent. Patients will be excluded if they have had a prior Q-wave infarction, present cardiogenic shock, unstable angina or non-cardiac disease limiting life expectancy to less than 1 year. Other","include significant kidney or liver disease, uncontrolled diabetes, or symptomatic cerebrovascular disease (such as stroke). Patients who have been previously shown to be non-compliant will be asked not to participate.",L-Arginine,INTERVENTIONAL,COMPLETED
NCT04662762,A Nursing Intervention Program to Improve Therapeutic Adherence in Elderly People With Acute Myocardial Infarction,"Medication Adherence, Myocardial Infarction",* Patients with STEMI aged 75 years or older underwent primary percutaneous coronary intervention (PCI),"* Patients who refused to participate in the study
* Patients unable to perform geriatric assessment.
* Patients admitted to nursing homes or social health centres.",Nursing intervention programme,INTERVENTIONAL,COMPLETED
NCT00640991,REsearching Coronary REduction by Appropriately Targeting Euglycemia (RECREATE Pilot Study),"Hyperglycemia, Cardiovascular Diseases, Myocardial Infarction","Both nondiabetic patients and patients with non-insulin-requiring type 2 diabetes mellitus admitted with a suspected AMI are eligible if they meet the following criteria:

* Signs or symptoms of AMI with definite ECG changes, defined as persistent ST-segment elevation (\> or = than 1 mm)in two or more contiguous leads, or new left bundle branch block
* Onset of symptoms within 24 hours before hospital presentation
* Capillary blood glucose level on presentation \> or = 8.0 mmol/L (144 mg/dL)","* Patient with conditions that REQUIRE the administration of insulin, including:

  * Type 1 diabetes mellitus, defined by a documented history of diabetes mellitus before the age of 30
  * Type 2 diabetes mellitus that was treated with insulin prior to AMI presentation
  * Type 2 diabetes mellitus that is known to be very poorly controlled (e.g. admission capillary blood glucose \> 16.0 mmol/L (288 mg/dL)or marked elevation in glucose for which the site investigator plans to treat with insulin therapy)
* A history of severe hypoglycemic episodes (defined as hypoglycemia with symptoms which the patient is unable to reverse without the assistance of another person) within the past two years
* Known or suspected end-stage liver disease (due to the risk of hypoglycemia in the setting of liver dysfunction and consequent impaired regulation of glucose homeostasis)
* Cardiogenic shock on admission (due to the inaccuracy of glucose meter readings)
* Documented pregnancy
* Any concomitant disease (e.g. cancer) that might limit life expectancy to less than 90 days
* Anticipated poor adherence with study treatments or an other factor that might jeopardize 90-day follow-up (e.g. no fixed address, long distance to hospital, etc.)
* Prior enrollment in this trial or current enrollment in another trial of ST-segment elevation myocardial infarction","glulisine insulin, glargine insulin",INTERVENTIONAL,COMPLETED
NCT01504191,Internet-based Cognitive Behavior Therapy After Myocardial Infarction,"Depression, Anxiety, Myocardial Infarction","* Patients younger than 75 years with a recent acute MI (\< 3 months)
* Depression and/or anxiety score of \> 7 on one or both of the HADS subscales (concerns only the intervention, not the reference group)","* Patients that are scheduled for a coronary artery bypass surgery (CABG)
* Unable or unwilling to use computer or Internet
* Difficulties in reading or understanding Swedish
* A life expectancy of less than a year
* Anticipated poor compliance (multi-disease, substance abuse etc.)
* Highly depressed or suicidal (MADRS-score \> 29 or MADRS item 9 \> 3)",Internet-based CBT,INTERVENTIONAL,COMPLETED
NCT01650662,CYCLosporinE A in Reperfused Acute Myocardial Infarction,Acute Myocardial Infarction,"* Male and female patients with large STEMI not older than 6 hours, defined as
* angina pectoris or equivalent symptoms of more than 20 minutes duration within last 6 hours, and
* ST elevation in at least 3 leads in anterior MI and/or a deviation in at least 4 leads in inferior MI,
* TIMI flow 0 or 1 in identified culprit artery
* Intended acute primary PCI
* Age ≥ 18 years
* Ability to understand the nature, scope, and possible consequences of the study participation/legal capacity
* Written informed consent","* Left bundle branch block
* TIMI flow \> 1 in the identified culprit artery
* Treatment with CsA within last 10 days
* Contraindication to CsA or history of allergic reaction to CsA
* Coronary anatomy not suitable for PCI
* Thrombolytic therapy within 24 h. before randomization
* Previous MI
* Previous CABG
* Severe renal or hepatic insufficiency
* Malignant tumor, not curatively treated
* Women with childbearing potential, esp. pregnant or nursing women
* Participation in another clinical or device trial within the previous 30 days",Cyclosporine A,INTERVENTIONAL,COMPLETED
NCT00910962,"A Study to Evaluate the Safety of 12 Weeks of Dosing With GW856553 and Its Effects on Inflammatory Markers, Infarct Size, and Cardiac Function in Subjects With Myocardial Infarction Without ST-segment Elevation",Acute Coronary Syndrome,"* Subjects with a NSTEMI, defined as: symptoms (e.g. chest pain, dyspnea) consistent with acute coronary syndrome, lasting at least 10 minutes, with most recent symptoms occurring within the 24 hours prior to presentation, without persistent ST-segment elevation on admission 12-lead ECG, and with Troponin (T or I) above the upper limit of normal (ULN) for the local institution within 18 hours of presentation.
* Subject able to be randomized within 18 hours of presentation.
* Subjects to be managed with an early invasive strategy, with PCI likely to occur at least 2 hours after the start of dosing \[subjects who do not undergo PCI will not be withdrawn from the study\].
* Male or female subject who is 45 years of age or older.
* A female subject is eligible to participate if she is of: Non-childbearing potential defined as pre-menopausal females with a documented tubal ligation or hysterectomy; or postmenopausal defined as 12 months of spontaneous amenorrhea (in questionable cases a blood sample with simultaneous follicle stimulating hormone (FSH) greater than 40 MlU/ml and estradiol less than 40 pg/ml (less than 140 pmol/L) is confirmatory), or child-bearing potential and agrees to use one of the contraception methods listed in the protocol for the duration of dosing and until the first follow-up visit (approximately 2 weeks post last-dose).
* Negative urine or serum pregnancy test (in women of child-bearing potential only).
* Male subjects must agree to use one of the contraception methods listed in the protocol. This criterion must be followed from the time of the first dose of study medication until the first follow-up visit (approximately 2 weeks post last-dose).
* QTcB or QTcF greater than 530 msec.
* Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the consent form.","* History of severe heart failure defined as NYHA class III or IV or those with known severe LV dysfunction \[ejection fraction less than 30%\] regardless of symptomatic status.
* Suspected aortic dissection.
* Severe aortic stenosis or other severe valvular disease.
* Current known life-threatening condition other than vascular disease (e.g. severe chronic airways disease) that may prevent a subject from completing the study.
* Subjects with rheumatoid arthritis, connective tissue disorders and other conditions known to be associated with active chronic or acute inflammation (e.g. inflammatory bowel disease, osteomyelitis, pneumonia, etc.). Intermittent conditions treated with short-term oral antibiotics (e.g. typical URI) or conditions that are not currently exacerbated (e.g. gout with no current flair) may be included.
* History of myopathy or rhabdomyolysis.
* Current or chronic history of liver disease, known hepatic or biliary abnormalities (with the exception of Gilbert's syndrome or asymptomatic gallstones).
* Known to be Hepatitis B or Hepatitis C positive.
* Current or anticipated use of systemic steroids (oral or IV). Inhaled, intranasal and topical steroids are allowed. A single prophylactic dose of systemic steroid is allowed at time of PCI for subjects with contrast allergy.
* Current or anticipated use of BCRP substrates with a narrow therapeutic index (e.g. daunorubicin, doxorubicin, topotecan, mitoxantrone).
* Previously diagnosed cancer that has not been in complete remission for at least 5 years. Localized carcinomas of the skin and carcinoma in situ of the cervix that have been resected or ablated for cure are not exclusionary..
* Known alcohol or drug abuse within the past 6 months.
* Previous exposure to GW856553.
* Use of another investigational product within 30 days or 5 half-lives (whichever is the longer) preceding the first dose of IP in the current study.
* Any other subject whom the Investigator deems unsuitable for the study (e.g., due to either medical reasons, laboratory abnormalities, expected study medication non-compliance).
* Unwillingness or inability to follow the procedures outlined in the protocol.
* Previous MI or coronary artery bypass graft (CABG) surgery.
* History of kidney transplant or a history of contrast nephropathy.
* Contraindication to MRI scanning (as assessed by local MRI safety questionnaire) which includes but is not limited to: intracranial aneurysm clips or other metallic objects; history of intra-orbital metal fragments that have not been removed by an MD; pacemakers and non-MR compatible heart valves; inner ear implants; history of claustrophobia in MR.
* Allergy to MRI contrast enhancement agent (gadolinium).
* Estimated creatinine clearance by Cockcroft-Gault formula \< 30 mL/min.","GW856553, GW856553, Placebo",INTERVENTIONAL,COMPLETED
NCT01874262,A Study to Evaluate the Use of Mobile-phone Based Patient Support in Patients Diagnosed With Myocardial Infarction,Myocardial Infarction,"1. Provision of written patient informed consent.
2. Patients must have a smart phone at their disposal and use it on a daily basis.
3. Female or male aged \>18 years, diagnosed with a ST elevation Myocardial Infarction (STEMI) or non ST elevation Myocardial Infarction (NSTEMI) and treated with ticagrelor prior to inclusion into this study and for which the treating physician intend to continue prescribing ticagrelor according to the prescription recommendation.
4. Ability to read, understand and write Swedish.","1. Participation in any clinical trial or device study in the last 30 days excluding prospective/retrospective register based studies that do not require any extra visits in addition to ordinary health care.
2. Patients not suitable for participation based on the investigators judgment for example:

   * Patients on treatment with triple antithrombotic treatment.
   * Patients on treatment with anticoagulantia.
   * Patients accepted/with a plan for thoracic surgery (CABG) or any other elective surgery that cannot be postponed until after study participation.
   * Patients with a life expectancy of less than 12 months.
   * Patients judged to be unable to follow a structured physical activity program.
3. Patients those are pregnant or lactating.
4. Patients involved in the planning and/or conduct of the study (applies to AstraZeneca staff and/or staff at the study site and application developer).","Mobile-phone based patient support, e-diary",INTERVENTIONAL,COMPLETED
NCT00712894,Effects of Different Vasodilators on Coronary No-reflow During primAry percuTaneous Coronary intErvention in Patients With Acute Myocardial Infarction,"Acute Myocardial Infarction, Percutaneous Coronary Intervention","* Clinical diagnosis of acute myocardial infarction
* Vessel TIMI flow \< grade Ⅲ post-PCI","* Heart failure of New York Heart Association (NYHA) class Ⅲ to class Ⅳ
* Sick sinus syndrome
* Atrioventricular block (grade Ⅱ and above)
* SBP ≤ 90mmHg or cardiogenic shock
* Heart Rate ≤60 bpm
* Pregnancy
* Renal or hepatic failure","Diltiazem, Verapamil, Nitroglycerin",INTERVENTIONAL,COMPLETED
